09/12/15,0,8,,
09/12/15,1,10,,
09/12/15,0,15,,
09/12/15,4,24,,
09/12/15,5,48,,
09/12/15,1,31,,
09/12/15,1,30,,
09/12/15,2,31,,
09/12/15,6,19,,
09/12/15,1,13,,
09/12/15,1,12,,
09/12/15,1,10,,
09/12/15,0,19,,
09/12/15,1,4,,
09/12/15,2,2,,
09/12/15,1,0,,
09/12/15,0,0,27,276
09/13/15,149,408,,
09/13/15,185,553,,
09/13/15,282,618,,
09/13/15,467,870,,
09/13/15,246,1277,,
09/13/15,395,1221,,
09/13/15,473,1085,,
09/13/15,550,761,,
09/13/15,577,453,,
09/13/15,536,266,,
09/13/15,509,154,,
09/13/15,425,133,,
09/13/15,369,111,,
09/13/15,304,92,,
09/13/15,268,84,,
09/13/15,232,95,,
09/13/15,7,0,,
09/13/15,0,2,5974,8183
09/14/15,109,256,,
09/14/15,138,501,,
09/14/15,204,688,,
09/14/15,403,1004,,
09/14/15,279,2604,,
09/14/15,566,2272,,
09/14/15,893,1637,,
09/14/15,1110,834,,
09/14/15,1145,386,,
09/14/15,1005,169,,
09/14/15,756,91,,
09/14/15,591,78,,
09/14/15,441,66,,
09/14/15,370,61,,
09/14/15,253,70,,
09/14/15,228,125,,
09/14/15,3,0,,
09/14/15,0,2,8494,10844
09/15/15,113,198,,
09/15/15,110,389,,
09/15/15,145,537,,
09/15/15,359,783,,
09/15/15,369,2592,,
09/15/15,644,2281,,
09/15/15,876,1823,,
09/15/15,1129,998,,
09/15/15,1125,389,,
09/15/15,953,153,,
09/15/15,660,83,,
09/15/15,448,53,,
09/15/15,280,37,,
09/15/15,233,35,,
09/15/15,246,48,,
09/15/15,227,54,,
09/15/15,3,0,,
09/15/15,0,0,7920,10453
09/16/15,58,144,,
09/16/15,57,251,,
09/16/15,74,375,,
09/16/15,258,521,,
09/16/15,343,1970,,
09/16/15,526,2019,,
09/16/15,784,1752,,
09/16/15,1054,821,,
09/16/15,1081,362,,
09/16/15,893,154,,
09/16/15,568,56,,
09/16/15,361,39,,
09/16/15,279,24,,
09/16/15,202,26,,
09/16/15,159,27,,
09/16/15,206,39,,
09/16/15,1,0,,
09/16/15,0,0,6904,8580
09/17/15,34,108,,
09/17/15,38,195,,
09/17/15,57,274,,
09/17/15,190,363,,
09/17/15,339,2255,,
09/17/15,779,2005,,
09/17/15,194,1287,,
09/17/15,1138,725,,
09/17/15,1050,324,,
09/17/15,792,111,,
09/17/15,531,64,,
09/17/15,343,22,,
09/17/15,221,27,,
09/17/15,168,27,,
09/17/15,145,47,,
09/17/15,215,52,,
09/17/15,1,0,,
09/17/15,0,0,6235,7886
09/18/2015,39,127
09/18/2015,45,288
09/18/2015,68,391
09/18/2015,134,431
09/18/2015,340,2629
09/18/2015,537,2124
09/18/2015,649,1381
09/18/2015,865,788
09/18/2015,918,504
09/18/2015,758,155
09/18/2015,536,66
09/18/2015,354,41
09/18/2015,264,36
09/18/2015,228,27
09/18/2015,226,53
09/18/2015,231,100
09/18/2015,0,0
09/18/2015,0,0
