station,lines,latitude,longitude,am_entries,am_exits,pm_entries,pm_exits,am_flow,pm_flow
1 AVE,L,40.730901,-73.981719,45394,48938,73943,77479,out,out
BEDFORD AVE,L,40.717241,-73.956614,67132,36225,85178,119372,in,out
LORIMER ST,LG,40.713875,-73.951592,11178,1407,13733,6472,in,in
GRAHAM AVE,L,40.71459,-73.944104,32678,9449,24561,21525,in,in
GRAND ST,L,40.711874,-73.94067,17108,13848,20239,19770,in,in
MONTROSE AVE,L,40.707889,-73.940005,19835,5980,18759,13002,in,in
MORGAN AVE,L,40.706148,-73.93316,17165,4340,19188,6958,in,in
JEFFERSON ST,L,40.706636,-73.922925,21270,3126,21558,5956,in,in
DEKALB AVE,L,40.703839,-73.91844,41376,5247,28670,13119,in,in
MYRTLE AVE,LM,40.699707,-73.91181,64189,13895,47014,44230,in,in
HALSEY ST,L,40.695607,-73.904021,27437,5372,17670,14534,in,in
WILSON AVE,L,40.688676,-73.903999,14933,4545,10988,13299,in,out
BUSHWICK AVE,L,40.682558,-73.905501,6044,1651,4942,4487,in,in
ATLANTIC AVE,L,40.675496,-73.902819,4916,1467,4653,1526,in,in
SUTTER AVE,L,40.669376,-73.902047,9592,3371,10548,11360,in,out
LIVONIA AVE,L,40.663801,-73.900444,6388,3045,7638,8034,in,out
NEW LOTS AVE,L,40.658748,-73.899472,12454,5263,11269,15560,in,out
EAST 105 ST,L,40.650625,-73.899558,9056,4545,8533,11400,in,out
ROCKAWAY PKY,L,40.64666,-73.901832,33006,3169,27564,12135,in,in
JFK HOWARD BCH,A,40.660476,-73.830301,3350,3197,9628,10790,in,out
JFK JAMAICA CT1,E,40.643942,-73.782356,9477,8343,29918,28800,in,in
MARCY AVE,JMZ,40.708377,-73.957751,18512,11458,38688,33095,in,in
HEWES ST,JM,40.706994,-73.953481,4304,1258,7431,4953,in,in
LORIMER ST,JM,40.703855,-73.947387,8903,2569,12021,8437,in,in
FLUSHING AVE,JM,40.700244,-73.941658,9594,4828,30640,8942,in,in
MYRTLE AVE,JMZ,40.697266,-73.935692,21856,6820,27238,26351,in,in
KOSCIUSZKO ST,J,40.693329,-73.928826,9526,2827,12164,7224,in,in
GATES AVE,JZ,40.689652,-73.922281,12323,2605,15391,8790,in,in
HALSEY ST,J,40.68617,-73.916337,13474,2332,14191,9440,in,in
CHAUNCEY ST,JZ,40.682867,-73.91048,6165,1340,7612,5010,in,in
ALABAMA AVE,J,40.677107,-73.898871,4191,4108,7455,6967,in,in
VAN SICLEN AVE,JZ,40.678018,-73.891726,7147,2328,6473,11307,in,out
CLEVELAND ST,J,40.679938,-73.884687,8469,2448,7267,12701,in,out
NORWOOD AVE,JZ,40.681598,-73.880074,8957,2897,7456,14186,in,out
CRESCENT ST,JZ,40.683209,-73.873765,13124,3720,9955,20006,in,out
CYPRESS HILLS,J,40.689945,-73.872564,5203,1420,3168,3068,in,in
ELDERTS LANE,JZ,40.69132,-73.867135,13417,3023,6899,8743,in,out
FOREST PARKWAY,J,40.692304,-73.860151,15349,2030,7565,7828,in,out
WOODHAVEN BLVD,JZ,40.693866,-73.851568,15781,3205,11377,8498,in,in
104 ST,JZ,40.695184,-73.844326,10031,2242,5337,7181,in,out
111 ST,J,40.697405,-73.836354,8455,2117,5634,5040,in,in
121 ST,JZ,40.700536,-73.828382,7441,2237,6353,4959,in,in
CENTRAL AVE,M,40.697673,-73.927131,7650,2108,5846,10148,in,out
KNICKERBOCKER,M,40.698666,-73.919685,7917,3115,9778,15223,in,out
SENECA AVE,M,40.702798,-73.907776,7014,1428,5131,10706,in,out
FOREST AVE,M,40.704424,-73.903077,12382,1887,6871,11457,in,out
FRESH POND ROAD,M,40.706181,-73.89591,17518,3259,9717,24606,in,out
METROPOLITAN AV,M,40.711353,-73.88958,13134,6462,9290,11741,in,out
INWOOD-207 ST,A,40.868045,-73.919921,21503,3321,20831,17166,in,in
DYCKMAN-200 ST,A,40.865286,-73.92698,14744,214,16243,589,in,in
190 ST,A,40.859022,-73.93419,16196,2990,12281,7748,in,in
181 ST,A,40.851686,-73.937967,23768,5310,25819,34367,in,out
175 ST,A,40.847369,-73.939683,42954,9491,38055,25642,in,in
168 ST-BROADWAY,AC1,40.840778,-73.940091,35010,10472,40742,16370,in,in
163 ST-AMSTERDM,C,40.835957,-73.939898,9366,1405,10280,4905,in,in
155 ST,C,40.830551,-73.941486,5172,1932,6600,7145,in,out
145 ST,ABCD,40.824787,-73.944232,66914,28540,65605,73507,in,out
135 ST,BC,40.817902,-73.947644,7497,4161,14527,10954,in,in
125 ST,ACBD,40.811056,-73.952386,63900,47868,99174,83722,in,in
116 ST,BC,40.805072,-73.954833,9663,4346,19544,16967,in,in
CATHEDRL-110 ST,BC,40.800637,-73.958201,11875,4632,20787,14588,in,in
103 ST,BC,40.796105,-73.961399,7595,2237,12827,11254,in,in
96 ST,BC,40.791654,-73.964682,20707,15570,33901,23585,in,in
86 ST,BC,40.785822,-73.968952,23015,9882,35292,15253,in,in
81 ST-MUSEUM,BC,40.781435,-73.972149,9672,10884,61756,35937,out,in
72 ST,BC,40.775545,-73.976398,14788,17101,37839,24977,out,in
59 ST-COLUMBUS,ABCD1,40.76811,-73.981891,61315,125378,222382,133131,out,in
50 ST,CE,40.762439,-73.985989,32102,31084,71289,41113,in,in
42 ST-PA BUS TE,ACENGRS1237,40.757303,-73.989787,10660,20523,48922,41276,out,in
42 ST-PA BUS TE,ACENQRS1237,40.757303,-73.989787,240392,95460,235779,250378,in,out
34 ST-PENN STA,ACE,40.752247,-73.993456,208383,153002,250861,283995,in,out
23 ST,CE,40.745924,-73.998005,35411,39752,92026,51954,out,in
14 ST,ACEL,40.740388,-74.002104,11987,22855,77230,53250,out,in
W 4 ST-WASH SQ,ABCDEFM,40.732251,-74.000559,36422,40725,151211,142035,out,in
SPRING ST,CE,40.726202,-74.003627,11114,6581,53560,7428,in,in
CANAL ST,ACE,40.720852,-74.005237,15888,55730,86560,46501,out,in
CHAMBERS ST,ACE23,40.71433,-74.008563,41600,64871,152275,43713,out,in
WORLD TRADE CTR,ACE23,40.71433,-74.008563,16425,21596,68644,23908,out,in
FULTON ST,2345ACJZ,40.709938,-74.007983,28487,113794,167083,85748,out,in
HIGH ST,AC,40.699316,-73.990474,15539,22551,33492,33713,out,out
JAY ST-METROTEC,ACF,40.692338,-73.987342,47480,64019,144946,50351,out,in
HOYT/SCHERMER,ACG,40.688465,-73.985474,14638,21976,38229,27117,out,in
LAFAYETTE AVE,C,40.68617,-73.973908,4756,1821,15928,8293,in,in
CLINTON-WASH AV,C,40.683263,-73.965838,18319,6702,15888,12725,in,in
FRANKLIN AVE,ACS,40.681159,-73.956056,10758,6697,17412,21497,in,out
NOSTRAND AVE,AC,40.68041,-73.950326,52139,18261,48041,41065,in,in
KINGSTON-THROOP,C,40.679921,-73.940858,18556,6303,15165,14258,in,in
UTICA AVE,AC,40.679279,-73.930585,31354,10361,37899,43635,in,out
RALPH AVE,C,40.678815,-73.920801,11574,2863,13490,9122,in,in
ROCKAWAY AVE,C,40.67836,-73.911939,11706,3013,12085,11531,in,in
BROADWAY-ENY,ACJLZ,40.678848,-73.904139,26372,14484,25078,31294,in,out
LIBERTY AVE,C,40.674552,-73.896554,5366,1757,6592,4344,in,in
VAN SICLEN AVE,C,40.672786,-73.890438,7717,2553,6551,10852,in,out
SHEPHERD AVE,C,40.674161,-73.880761,8162,1768,6792,6101,in,in
EUCLID AVE,AC,40.675382,-73.87207,36388,4801,24106,10208,in,in
GRANT AVE,A,40.677107,-73.865376,24276,5076,13757,19775,in,out
HUDSON-80 ST,A,40.679369,-73.85896,17903,2951,12110,15039,in,out
BOYD-88 ST,A,40.679857,-73.851492,15964,724,6811,4778,in,in
ROCKAWAY BLVD,A,40.680429,-73.843853,2040,1467,4295,4714,in,out
OXFORD-104 ST,A,40.681745,-73.837631,8891,587,2894,2748,in,in
GREENWOOD-111,A,40.684364,-73.832181,9102,608,2578,5276,in,out
