station,lines,latitude,longitude,am_entries,am_exits,pm_entries,pm_exits,am_flow,pm_flow
135 ST,23,40.814459,-73.940992,40447,8898,45044,15067,in,in
145 ST,3,40.820402,-73.936315,11542,322,9607,605,in,in
148 ST-LENOX,3,40.823877,-73.936443,13150,3771,9853,11626,in,out
149 ST-3 AVE,25,40.816132,-73.917754,55401,15842,74171,29197,in,in
JACKSON AVE,25,40.816505,-73.907797,11321,1399,12828,3711,in,in
PROSPECT AVE,25,40.819396,-73.901467,13866,1925,18627,7327,in,in
INTERVALE-163,25,40.822172,-73.896747,6123,4011,8728,10666,in,out
SIMPSON ST,25,40.82417,-73.893228,17103,1439,26014,6624,in,in
FREEMAN ST,25,40.829966,-73.891876,10375,3880,10678,13250,in,out
174 ST,25,40.837382,-73.887659,14761,6406,18026,20437,in,out
E TREMONT AVE,25,40.840097,-73.879774,14347,8444,22924,19636,in,in
E 180 ST,25,40.841882,-73.873551,20170,6701,18886,24438,in,out
BRONX PARK EAST,25,40.848797,-73.868465,6635,1312,5216,3199,in,in
PELHAM PARKWAY,25,40.857188,-73.867607,19037,4173,26805,14027,in,in
ALLERTON AVE,25,40.865481,-73.867393,12987,2134,13733,8263,in,in
BURKE AVE,25,40.871387,-73.867135,8951,909,7275,4654,in,in
GUN HILL ROAD,25,40.877796,-73.866255,14372,9163,19653,26415,in,out
219 ST,25,40.883767,-73.862736,8916,1760,7383,5479,in,in
225 ST,25,40.887887,-73.860505,10463,1583,9576,6846,in,in
233 ST,25,40.893386,-73.857265,12922,1769,12723,6471,in,in
NEREID AVE,25,40.898382,-73.854389,9080,1459,8261,5075,in,in
WAKEFIELD-241,2,40.903085,-73.850591,12119,6701,13215,18079,in,out
138 ST-3 AVE,6,40.810512,-73.926165,16383,6074,19219,19406,in,out
BROOK AVE,6,40.808044,-73.919234,11478,6219,16243,17674,in,out
CYPRESS AVE,6,40.805737,-73.914471,6598,4960,11584,6461,in,in
E 143 ST,6,40.808742,-73.90769,1387,2021,3003,2624,out,in
E 149 ST,6,40.812104,-73.904085,9744,5291,11293,13555,in,out
LONGWOOD AVE,6,40.816083,-73.89606,6736,4767,9351,8469,in,in
HUNTS POINT AVE,6,40.820889,-73.890567,22017,10458,24143,24750,in,out
WHITLOCK AVE,6,40.826508,-73.886425,5544,2784,4433,6094,in,out
ELDER AVE,6,40.828894,-73.879559,16404,5164,13154,22495,in,out
MORRISON AVE,6,40.829495,-73.874559,23235,6071,14392,18548,in,out
ST LAWRENCE AVE,6,40.8315,-73.867623,15023,3965,9211,13099,in,out
E 177 ST-PARKCH,6,40.833246,-73.860805,42307,12773,31126,66248,in,out
CASTLE HILL AVE,6,40.834255,-73.851222,22690,6907,14808,20256,in,out
ZEREGA AVE,6,40.83646,-73.846471,5545,2356,4859,6692,in,out
WESTCHESTER SQ,6,40.839892,-73.842952,16625,10838,18238,16345,in,in
MIDDLETOWN ROAD,6,40.843635,-73.836687,5915,1759,3656,7166,in,out
BUHRE AVE,6,40.846817,-73.832545,9416,1924,5213,11469,in,out
PELHAM BAY PARK,6,40.852465,-73.828125,23841,7658,17759,18335,in,out
5 AVE-BRYANT PK,7BDFM,40.753824,-73.981966,6037,39285,55386,24265,out,in
VERNON/JACKSON,7,40.742624,-73.953545,45010,17330,36324,38853,in,out
HUNTERS PT AVE,7,40.74238,-73.948889,14702,11703,16838,15880,in,in
COURT SQ,7,40.747029,-73.94537,7104,15331,16559,11719,out,in
QUEENSBORO PLZ,7NQ,40.750508,-73.940177,22379,10511,40214,8769,in,in
BEEBE-39 AVE,NQ,40.753076,-73.93271,8088,6531,10627,7587,in,in
WASHINGTON-36 A,NQ,40.756977,-73.929373,21785,9372,19464,21030,in,out
BROADWAY-31 ST,NQ,40.761959,-73.925382,44736,9377,29493,34447,in,out
GRAND-30 AVE,NQ,40.766843,-73.921423,50350,12376,33291,41748,in,out
HOYT ST-ASTORIA,NQ,40.770426,-73.917614,44013,8363,28385,31414,in,out
DITMARS BL-31 S,NQ,40.774984,-73.912067,61775,12893,36138,55508,in,out
33 ST/RAWSON ST,7,40.744558,-73.930993,12680,31742,44608,16199,out,in
40 ST-LOWERY ST,7,40.743778,-73.923998,33441,13608,26384,29175,in,out
46 ST-BLISS ST,7,40.743079,-73.918419,45502,13016,34685,37552,in,out
52 ST-LINCOLN,7,40.744103,-73.912497,14491,3762,14289,23244,in,out
61 ST/WOODSIDE,7,40.745623,-73.902969,39140,14990,38725,72033,in,out
69 ST-FISK AVE,7,40.746325,-73.896403,9951,3997,11794,16278,in,out
74 ST-BROADWAY,7EFMR,40.746655,-73.891361,6334,6021,11067,17979,in,out
82 ST-JACKSON H,7,40.747647,-73.883786,41584,24455,47846,64952,in,out
90 ST-ELMHURST,7,40.748541,-73.876791,58115,9190,37037,28346,in,in
JUNCTION BLVD,7,40.749143,-73.869452,81057,20671,47652,82795,in,out
103 ST-CORONA,7,40.749858,-73.862672,72991,13543,39012,44154,in,out
111 ST,7,40.75176,-73.855183,41938,7987,22814,25346,in,out
METS-WILLETS PT,7,40.754622,-73.845625,5026,7841,15774,24143,out,out
MAIN ST,7,40.759578,-73.830056,182599,69735,148993,172954,in,out
CLARK ST,23,40.697356,-73.992888,15670,5970,18875,13811,in,in
BOROUGH HALL/CT,2345R,40.692404,-73.990151,63156,61031,121716,64565,in,in
HOYT ST,23,40.690545,-73.985065,8956,17398,30373,19322,out,in
NEVINS ST,2345,40.688269,-73.980453,17233,23936,38012,29937,out,in
BARCLAYS CENTER,2345BDNQR,40.684063,-73.977417,54168,28041,60652,76477,in,out
BERGEN ST,23,40.680801,-73.975132,11489,4457,9616,11126,in,out
GRAND ARMY PLAZ,23,40.675219,-73.971012,21773,4388,20030,11375,in,in
EASTERN PKWY,23,40.672013,-73.96436,10517,5169,15276,17471,in,out
FRANKLIN AVE,2345S,40.670711,-73.958051,43728,9575,33903,29526,in,in
NOSTRAND AVE,3,40.669735,-73.950455,11814,5403,11129,12721,in,out
KINGSTON AVE,3,40.669409,-73.942173,14523,5982,14393,13414,in,in
CROWN HTS-UTICA,34,40.669279,-73.932967,94955,20580,61096,72817,in,out
SUTTER AVE,3,40.664591,-73.922668,26129,4797,18006,14868,in,in
SARATOGA AVE,3,40.661466,-73.916316,30937,4496,20092,13676,in,in
JUNIUS ST,3,40.663419,-73.902454,9964,2496,8437,4341,in,in
PENNSYLVANIA AV,3,40.664884,-73.894258,23692,2198,17590,5468,in,in
NEW LOTS AVE,3,40.666252,-73.884087,24254,6294,16675,15381,in,in
PRESIDENT ST,25,40.667879,-73.950648,11571,5182,9105,13897,in,out
STERLING ST,25,40.662752,-73.950605,18910,3834,13904,12797,in,in
WINTHROP ST,25,40.656648,-73.950198,11785,2788,20990,4896,in,in
CHURCH AVE,25,40.650843,-73.949575,21787,2141,21332,8311,in,in
BEVERLY ROAD,25,40.645089,-73.948975,15868,989,9133,3053,in,in
NEWKIRK AVE,25,40.639961,-73.948352,20005,3798,14777,18670,in,out
FLATBUSH AVE,25,40.632836,-73.947642,49465,8762,43344,45230,in,out
MORRIS PARK,5,40.854137,-73.860977,6311,914,2932,7507,in,out
PELHAM PARKWAY,5,40.858973,-73.855355,7549,1466,5313,5762,in,out
GUN HILL ROAD,5,40.877796,-73.866341,19193,1589,8742,4483,in,in
BAYCHESTER AVE,5,40.878656,-73.838596,8997,399,5786,1367,in,in
DYRE AVE,5,40.888244,-73.83085,12335,4374,7375,13776,in,out
ST. GEORGE,1,40.643738,-74.073622,34094,8,40028,0,in,in
TOMPKINSVILLE,1,40.636948,-74.074824,1240,0,2135,0,in,in
RIT-MANHATTAN,R,40.761268,-73.964016,2423,68,21200,236,in,in
RIT-ROOSEVELT,R,40.7574,-73.954006,5744,74,12410,268,in,in
