C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,10:00:02,REGULAR,0000000507,0000001198                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,12:00:00,REGULAR,0000000507,0000001220                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,16:00:00,REGULAR,0000000516,0000001259                                        
R550,R072,00-00-00,34 ST-HUDSON YD,7,IRT,09/18/2015,20:00:00,REGULAR,0000000544,0000001298                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,00:00:00,REGULAR,0000000015,0000000052                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,04:00:00,REGULAR,0000000015,0000000052                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,08:00:00,REGULAR,0000000015,0000000052                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,12:00:00,REGULAR,0000000015,0000000057                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,16:00:00,REGULAR,0000000015,0000000057                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/12/2015,20:00:00,REGULAR,0000000015,0000000059                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/13/2015,00:00:00,REGULAR,0000000016,0000000062                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/13/2015,04:00:00,REGULAR,0000000016,0000000070                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/13/2015,08:00:00,REGULAR,0000000016,0000000077                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/13/2015,12:00:00,REGULAR,0000000024,0000000079                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/13/2015,16:00:00,REGULAR,0000000130,0000000383                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/13/2015,20:00:00,REGULAR,0000000189,0000000583                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/14/2015,00:00:00,REGULAR,0000000201,0000000615                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/14/2015,04:00:00,REGULAR,0000000204,0000000619                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/14/2015,08:00:00,REGULAR,0000000206,0000000654                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/14/2015,12:00:00,REGULAR,0000000221,0000000775                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/14/2015,12:52:19,REGULAR,0000000230,0000000802                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/14/2015,12:54:10,REGULAR,0000000230,0000000803                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/14/2015,16:00:00,REGULAR,0000000272,0000000950                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/14/2015,20:00:00,REGULAR,0000000324,0000001098                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/15/2015,00:00:00,REGULAR,0000000339,0000001116                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/15/2015,04:00:00,REGULAR,0000000342,0000001124                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/15/2015,08:00:00,REGULAR,0000000344,0000001149                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/15/2015,12:00:00,REGULAR,0000000356,0000001217                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/15/2015,16:00:00,REGULAR,0000000385,0000001349                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/15/2015,20:00:00,REGULAR,0000000438,0000001484                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/16/2015,00:00:00,REGULAR,0000000449,0000001505                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/16/2015,04:00:00,REGULAR,0000000450,0000001511                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/16/2015,08:00:00,REGULAR,0000000451,0000001522                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/16/2015,12:00:00,REGULAR,0000000460,0000001601                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/16/2015,16:00:00,REGULAR,0000000475,0000001671                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/16/2015,20:00:00,REGULAR,0000000502,0000001741                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/17/2015,00:00:00,REGULAR,0000000506,0000001756                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/17/2015,04:00:00,REGULAR,0000000506,0000001761                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/17/2015,08:00:00,REGULAR,0000000508,0000001772                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/17/2015,12:00:00,REGULAR,0000000512,0000001824                                        
R550,R072,00-00-01,34 ST-HUDSON YD,7,IRT,09/17/2015,16:00:00,REGULAR,0000000522,0000001849                                        
